Learning,from,U,Lr,Ls,S,W,R,D
Arabic,EN,46,8.57,798,0,1519,24.05,46
ChineseA1,EN,70,12.0,1276,0,2006,25.03,70
ChineseA1,EN,67,,1029,0,2024,24.05,67
Czech,EN,88,1.00,1592,0,2696,24.05,88
Danish,EN,62,1.11,1004,0,2341,24.05,62
Dutch,EN,123,3.37,2039,0,2995,24.05,123
English IntB2,EN,175,18.6,5403,569,5050,25.03,2026
Esperanto,EN,69,0.43,1318,0,2385,24.05,69
Finnish,EN,35,1.18,563,0,1100,24.05,35
FrenchB2,EN,272,27.6,6686,405,8411,24.09,1022
GermanB1,EN,156,19.2,3558,187,5880,24.09,540
Greek,EN,95,2.98,1678,0,3195,24.05,95
Haitian Creole,EN,68,0.60,1069,0,2371,24.05,68
Hawaiian,EN,52,0.87,791,0,1000,24.05,52
Hebrew,EN,84,1.68,1622,0,4109,24.05,84
High Valyrian,EN,43,1.57,649,0,964,24.05,43
Hindi,EN,32,11.2,516,0,713,24.05,32
Hungarian,EN,110,0.74,1915,0,3177,24.05,110
Indonesian,EN,69,1.44,1189,0,1972,24.05,69
Irish,EN,66,2.01,1187,0,2025,24.05,66
ItalianA1,EN,70,,1366,81,2889,25.04,151
ItalianA1,EN,123,13.6,2667,81,4200,24.09,319
JapaneseB1,EN,221,25.1,4588,30,6889,24.10,442
Klingon,EN,65,0.41,1007,0,3441,24.05,65
KoreanA1,EN,112,18.7,1848,40,2697,24.08,152
Latin,EN,22,2.33,322,0,1000,24.05,22
Navajo,EN,11,0.37,123,0,143,24.05,11
Norwegian,EN,246,1.80,4318,0,5622,24.05,246
Polish,EN,67,2.67,1143,0,2020,24.05,67
PortugueseA1,EN,71,,1293,0,2200,25.04,71
Portuguese,EN,91,6.27,1896,100,3099,24.05,191
Romanian,EN,62,1.19,1082,0,2808,24.05,62
Russian,EN,95,9.87,1613,0,2545,24.05,95
Scottish Gaelic,EN,120,0.65,2191,0,3488,24.05,120
SpanishB2,EN,286,49.8,7650,396,7999,25.02,1936
Swahili,EN,73,0.74,1039,0,2040,24.05,73
Swedish,EN,85,2.39,1459,0,2549,24.05,85
Turkish,EN,67,5.00,902,0,2024,24.05,67
Ukrainian,EN,51,1.46,826,0,1920,24.05,51
Vietnamese,EN,75,2.83,1294,0,2790,24.05,75
Welsh,EN,112,0.77,2183,0,1758,24.05,112
Yiddish,EN,94,0.36,1545,0,3207,24.05,94
Zulu,EN,35,0.92,623,0,811,24.05,35
Catalan,ES,64,1.18,1237,0,2095,24.05,64
ChineseA1,ES,70,0.11,1276,0,1995,25.03,70
EnglishB2,ES,278,61.2,7307,411,8218,25.02,1801
Esperanto,ES,62,0.03,1198,0,2103,24.05,62
FrenchA1,ES,69,7.59,1399,70,2660,24.12,139
GermanA1,ES,70,2.84,1367,81,2890,25.03,151
Guarani,ES,55,0.07,761,0,2105,24.05,55
ItalianA1,ES,70,6.16,1357,51,2887,25.02,121
JapaneseA1,ES,70,0.15,1261,0,4120,25.03,70
KoreanA1,ES,70,0.09,1283,0,4106,25.03,70
